review_id,user_id,business_id,stars,useful,funny,cool,text,date,label_reel,prediction
iHKAq-y0io_T3DtUXZ5NHg,BeAwBI6btB0TirDqt3VGAQ,PcYxtg2aC5BmhvukcGOlfw,1,0,0,0,"If u like crawling little bugs, layers upon layers of paint covering up dirt, filthy carpet, dingy breakfast port hole, and holes in the fabric of chairs and curtains, then you've found your place! 
The staff is super nice, when you check out, they surprise you with ""I have just one charge for you, $10 for parking."" All said with a smile, of course. 
Definitely a place I'll remember. 
I would suggest getting drunk next door bef you check in.",2015-01-06 22:36:29,négatif,négatif
XQ8FDotxb0szU6e7w1x14g,oNWKKEcI9Qofd6KS0gpRHg,IkY2ticzHEn4QFn8hQLSWg,3,1,0,0,"Geno's is definitely a Philadelphia icon but the steaks really are just average. They seem to be giving less steak in their sandwiches over the years as well but maybe its just in my head :P 

If you have a friend visiting from out of town take them there! But as your everyday cheese steak I'd visit your local pizza shop",2014-09-27 20:06:30,neutre,neutre
XEtQqzzQTnFy-RjoXxhZLg,MnMPre_DgBGD0RG6SD-xcg,dbFGjNBivfrBzIiGrvggxA,1,0,0,0,"I would give it zero stars but I couldn't. The staff is so clueless.  Not sure if they know they are at Pizza Hut.  Regardless, after a long day at the parks I decided to order a ""quick"" pizza.  Yeah, that wasn't the case.  I'm glad I do not live here and I was just visiting.  I do not recommend this place.  By the way, I'm still waiting on my pizza as I write this...

Look at that, they didn't even have an order for me.  After an hour, I gave up.  I highly recommend going somewhere elder.",2019-08-07 02:45:25,négatif,négatif
Kv_V8Ked-Kn5skkP46oacw,rB50ofIHBNyikHy0jpidVA,F94hX4z3gqcUZHEh1_r8eQ,3,0,0,0,"Mirnas is decent most of the time - we live nearby and when we don't feel like cooking after work, we may go here.  Pasta is ok, Mediterranean dishes best, chicken sometimes good, sometimes not.  Servers are efficient, they never ask if you want something to drink so odd.",2012-04-01 01:54:57,neutre,neutre
uCTw1aMUNZ7McQijreunOg,g1D_MnNHu-jgmEB08SRe4g,9WV05QIvKDnYF2ljNfRWig,1,0,2,0,"We had dijnner there on Saturday night.  There were 9 of us and there was something wrong with everyone's dinner.  Two prime ribs came out luke warm (tell you later about that), two pasta dishes came with the wrong noodle (asked the waitress and she told us we were wrong - it was the right noodle and it wasn't- she then told us that they ran out of angel hair pasta, pasta with chicken parm was not hot, macaroni and cheese for my grandson was bland and no taste - he didn't eat it, chicken marsala lacking something, and my dish was okay not alot of vegetables for a vegetarian dish.
We called over the manager who was the general manager and he told us that prime rib is served at room temperature.  He was not at all sorry and did nothing to make us happy.  The water, coffee, etc. never got refilled unless we flagged down the waitress.
She was not at all nice or helpful.  One prime rib was sent back and it came out 2 minutes later - the same piece only it was microwaved (we were told that) and the other prime rib was sent back with instructions not to microwave and send out a new piece.  By the time it came, we were all done.  We decided not to order dessert even though we were celebrating 2 birthdays that evening.  When we got the check nothing was taken off for all the problems but the 15% was automatically added on for the waitress.  The manager was not at all apologic and lacked management skills.  None of the party plan to return to this restaurant.",2012-10-22 21:43:59,négatif,négatif
R94RWxRXJOtSkjDuK2vgKQ,H2HvPkMTfwnRP3BPFrGejg,WBmSdUTL3OReyfikv6qk9A,5,1,0,1,"I picked this florist after reading other reviews on Yelp, and was still pleasantly surprised. I had called a different place first, and the communication barrier was so bad that I couldn't even place an order. I called Yosi's because my parents are traveling through Tucson on my mom's birthday, and I wanted to send her flowers to their hotel. I called in the mid-afternoon on the day I wanted them delivered. They were friendly, helpful, listened to what I wanted, and offered me various price ranges. They delivered the flowers to her hotel just a few hours later! Would definitely recommend to anyone.",2014-05-01 21:09:40,positif,positif
lsrCwQo0iwCQ6Xs7Vq7M_w,QsFvbCJ1-8c9Ha6pA_ZX7Q,QHWYlmVbLC3K6eglWoHVvA,5,0,0,1,I came by Datz the other night to grab a couple drinks at the bar! Its a great place to relax and get a good bite to eat! Hannah at the bar was awesome and made the best drinks! Check this place out!,2021-12-15 01:55:37,positif,positif
BBNyio7naOQa9VbG6I0Jxg,qdOy1SaLUAORVQPJyjKOQw,9z3He4TXeDB8aPcGYyqUQQ,4,1,0,1,"Out of all your choices at Comcast center, Percy Street gives you something delicious and different. I don't eat BBQ that often for lunch, especially in Philadelphia where hoagies are king.

The menu is simple, you have either sandwich or platter of pulled pork, brisket, or chicken. I like that; not complicated and stick to what is good. Sides range from cole slaw, beans, mac-n-cheese, cornbread, collards. I ordered the brisket platter which comes with cole slaw, either beans or collards, and a slice of cornbread. It was a healthy platter, when I like something I can put it down but I was full by the end. With a drink, my total was $11 which isn't too shabby for Comcast dining. 

The only con I see is that they do not give you enough BBQ sauce. It was about half of a shot class which didn't cover all my brisket. I ended up mixing a lot of my platter together so I was fine, but would like more sauce.",2012-06-20 15:27:18,positif,neutre
QRkYOF2VOU-NDw2YQ9GkEw,aCWAdQGunKjhY9ZOiBUHuQ,PY9GRfzr4nTZeINf346QOw,1,0,0,0,"I started off having a horrible time at this Casino. My room was the wrong and my sheets had hair in them. After I got that squared away, later in the night security was totally rude about me sitting at the sports betting ""yes we were betting"". I was more than 10' from anyone while having a drink kicked my wife and myself out for not having a mask on. Thanks Peppermill for the shit night..",2020-09-19 00:23:41,négatif,négatif
gH1NY70M1i5O9HOf7MTUJw,1EPASIbt_9HIkrTmikiI8A,OhwO9B36viYBAW4ImMoTCA,1,0,0,0,We are totally finished with this place. We gave it another chance because everyone can have a bad day. Three of our party of four actually got sick after we ate there. Just the worse service and food we have ever experienced. Save your money people and go somewhere else.,2015-01-28 02:46:45,négatif,négatif
